,ID,TOPONYME,geometry
10,BDCAEROD0000000017183198,aérodrome de semur-en-auxois,"POLYGON ((4.340976406983087 47.48390852601283, 4.342182545989382 47.48328153124989, 4.343949347089122 47.484726841274046, 4.344322452991914 47.484405631148, 4.345374083679106 47.485188450862715, 4.346411927323226 47.48420773883386, 4.347979227594863 47.481417592535244, 4.347036910056033 47.481758004192294, 4.345643971145592 47.47896607420315, 4.342973194007258 47.478535049173665, 4.339203258971366 47.47779970282004, 4.338070538388404 47.47944766399498, 4.33945206642772 47.48020693962419, 4.340267605293878 47.48281112031359, 4.340976406983087 47.48390852601283))"
11,BDCAEROD0000000017183194,aérodrome de til-châtel,"POLYGON ((5.2065303652056985 47.53955754821887, 5.206041516323538 47.54134257309425, 5.2053066147592215 47.54299897538901, 5.204185549634905 47.54416109845104, 5.206877099678457 47.548954824402095, 5.209950846721528 47.552685870191354, 5.210165076405047 47.55297717045116, 5.215785048960806 47.54970618725669, 5.216654875082436 47.54980131574176, 5.217204243658306 47.548167281139854, 5.220177191111785 47.547598328596834, 5.22210057028238 47.54456303620004, 5.223076612985721 47.54344041969091, 5.220566546823056 47.54275615035786, 5.219641469877508 47.543345581741, 5.216742991037664 47.54285052542025, 5.213900674377412 47.54338900022738, 5.21359998768884 47.54322541663892, 5.209985558564379 47.54004770474654, 5.209187980004815 47.5397980761123, 5.2065303652056985 47.53955754821887))"
12,BDCAEROD0000000017183193,aérodrome de gray-saint-adrien,"POLYGON ((5.610997681275287 47.42984620581079, 5.610912296990096 47.43125318483943, 5.6193585347563415 47.43248187923696, 5.619379634421784 47.43280474948458, 5.620878364472795 47.43302408489947, 5.620950867669353 47.432688297643544, 5.622016983489666 47.432991220846404, 5.622538653880029 47.43155457803758, 5.610997681275287 47.42984620581079))"
13,BDCAEROD0000000017183191,aérodrome de besançon-thise,"POLYGON ((6.077626786832578 47.26980967836906, 6.076589460023711 47.27295984453263, 6.077370235104558 47.27314093565158, 6.076619135239098 47.27394017364024, 6.076907954559155 47.274291081868675, 6.076293933539365 47.27441007899799, 6.076823744484002 47.276310504788086, 6.077276053033035 47.277088620945804, 6.077842120431962 47.27724117200952, 6.0781792218894015 47.27677094708591, 6.081228908394124 47.27741070426807, 6.081588736266501 47.278398477091855, 6.084493141001445 47.27830414617951, 6.08610003510099 47.27800012439464, 6.087696690690242 47.276804424884084, 6.088796156075683 47.275688614520746, 6.089470363057451 47.27436068983415, 6.0896612626355955 47.27199514271157, 6.081168464799167 47.271072429819604, 6.077626786832578 47.26980967836906))"
14,BDCAEROD0000000017183197,aérodrome d'avallon,"POLYGON ((3.8993443922540685 47.50173356257754, 3.901126512866886 47.50043248230223, 3.899895998925909 47.50009270785107, 3.899422335770366 47.49981099602075, 3.8968190058425103 47.50189166054386, 3.9002148057431367 47.50419793660645, 3.904142965609738 47.506620613070886, 3.9051159508948494 47.50586317969596, 3.9023560538346844 47.50386449842173, 3.8993443922540685 47.50173356257754))"
15,BDCAEROD0000000017183189,aérodrome de montbéliard-courcelles,"POLYGON ((6.791716179125993 47.48386445766955, 6.790658027816405 47.48439098116392, 6.786018561052963 47.48533503841744, 6.783368312170992 47.48495078429926, 6.782509554819894 47.48485793312672, 6.781709570206003 47.484825348998044, 6.781118711310796 47.48491123294614, 6.779746530310197 47.48534151213503, 6.780556440663129 47.48581537485731, 6.781950366056371 47.486914615935966, 6.783044151651678 47.488224563597484, 6.783513872668133 47.48939527486417, 6.783500032050647 47.490026563598974, 6.787038881661131 47.491971633842326, 6.790211898805654 47.49351666557813, 6.792969853313739 47.49327543943503, 6.792884989851922 47.49305380503377, 6.795295968814969 47.49264538849371, 6.796649201077602 47.492134439234576, 6.7976076912165 47.49168231273001, 6.797950760239449 47.49132686009085, 6.7980380254504675 47.49094550658922, 6.798440032185583 47.49035291435889, 6.799351533917807 47.48965176926224, 6.801306740183539 47.48855785693002, 6.803318848918422 47.48798475127609, 6.802998091223756 47.487475232959625, 6.802454175239498 47.48734249994449, 6.8009012288311 47.48704264845531, 6.800936234430596 47.48682431399707, 6.799951911138179 47.48681769963894, 6.798297986503594 47.486593207384935, 6.7973722160959875 47.486493638772835, 6.796597261496712 47.48627108578495, 6.7951480466946 47.485633428492804, 6.792974111226529 47.484599410496756, 6.791716179125993 47.48386445766955))"
16,BDCAEROD0000000017183172,aérodrome de saint-florentin-chéu,"POLYGON ((3.7689529769389387 47.97753500540285, 3.7677667997824322 47.98022105208521, 3.77042943108486 47.98062932238766, 3.7722229921268084 47.98109454026963, 3.7749204081860688 47.98516083234871, 3.7769739612501367 47.98478459930239, 3.7780990174907663 47.98234275979276, 3.7826903633246545 47.98317625980137, 3.78334000326631 47.98196328186919, 3.782035551421351 47.980315126601155, 3.778951150138013 47.97966962197871, 3.7769841755202385 47.97926234994065, 3.7689529769389387 47.97753500540285))"
17,BDCAEROD0000000017183169,aérodrome de châtillon-sur-seine,"POLYGON ((4.5793375018355205 47.838451078426054, 4.5768303558455425 47.83889529852505, 4.578856905316733 47.84288732387478, 4.575932116570901 47.846074574053354, 4.57160395573545 47.84518566818906, 4.570841428545125 47.84644172313375, 4.576999598678682 47.8476193269463, 4.578877363682846 47.84902263999405, 4.578546960169548 47.84974002408803, 4.57965575570319 47.85037502137036, 4.580713545914837 47.85041838200555, 4.582292776695651 47.849199858189536, 4.581446203712977 47.84879359490268, 4.584255892125913 47.84569868245933, 4.581681007635691 47.84423644264715, 4.5793375018355205 47.838451078426054))"
18,BDCAEROD0000000017183165,aérodrome de vesoul-frotey,"POLYGON ((6.192710793269746 47.63682963311407, 6.192321699290781 47.63825638301911, 6.1975327718880955 47.6397398086545, 6.198488286899106 47.63987038521158, 6.204098093294626 47.639398594365, 6.20697718020508 47.639155604859305, 6.207636373077894 47.63961134073963, 6.20876803926181 47.639789243651116, 6.213968372387298 47.64002187695609, 6.215567477163338 47.6403913396863, 6.216252460600602 47.639549103405514, 6.216285612718415 47.638728421680376, 6.201902451171871 47.63757156513209, 6.192710793269746 47.63682963311407))"
19,BDCAEROD0000000017183173,aérodrome d'auxerre-branches,"POLYGON ((3.499392196338602 47.84093284429285, 3.4970560825183927 47.84101026898046, 3.493843658557669 47.84303177139543, 3.4946064740026994 47.84914954190467, 3.4964204040598457 47.85811766566461, 3.5000998689001412 47.858035439319224, 3.499292622792142 47.85139681647891, 3.50132134087754 47.851286463297214, 3.50265686267967 47.84942042611195, 3.5016124599288774 47.84430472528201, 3.499786176087103 47.84345030775574, 3.499392196338602 47.84093284429285))"
